stage,stage_index,global_step,episode,n_agents,width,height,n_targets,n_obstacles,pheromone_enabled,mean_episode_reward,food_discovered,food_picked_up,food_retrieved,exploration_coverage,pheromone_usage,pheromone_deposit_events,episode_length,first_pickup_step,first_delivery_step,pickup_to_delivery_latency,swarm_efficiency
stage1a_single_agent_tiny,1,8535,84,1,100,100,2,0,False,-17.62162208557129,0.0,0.0,0.0,0.44,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,8636,85,1,100,100,2,0,False,5.968394756317139,2.0,2.0,0.0,0.36,0.0,0,101,57,-1,-1,0.0
stage1a_single_agent_tiny,1,8751,86,1,100,100,2,0,False,2.7271251678466797,2.0,2.0,0.0,0.32,0.0,0,115,86,-1,-1,0.0
stage1a_single_agent_tiny,1,8871,87,1,100,100,2,0,False,-9.85836410522461,1.0,1.0,0.0,0.48,0.0,0,120,96,-1,-1,0.0
stage1a_single_agent_tiny,1,8933,88,1,100,100,2,0,False,13.811246871948242,2.0,2.0,0.0,0.2,0.0,0,62,51,-1,-1,0.0
stage1a_single_agent_tiny,1,9022,89,1,100,100,2,0,False,9.30307388305664,2.0,2.0,0.0,0.4,0.0,0,89,9,-1,-1,0.0
stage1a_single_agent_tiny,1,9133,90,1,100,100,2,0,False,9.116443634033203,2.0,2.0,0.0,0.28,0.0,0,111,82,-1,-1,0.0
stage1a_single_agent_tiny,1,9253,91,1,100,100,2,0,False,8.442068099975586,1.0,1.0,1.0,0.36,0.0,0,120,86,86,0,0.008333333333333333
stage1a_single_agent_tiny,1,9373,92,1,100,100,2,0,False,-17.820722579956055,0.0,0.0,0.0,0.4,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,9493,93,1,100,100,2,0,False,-2.2983086109161377,1.0,1.0,0.0,0.4,0.0,0,120,46,-1,-1,0.0
stage1a_single_agent_tiny,1,9521,94,1,100,100,2,0,False,14.138808250427246,2.0,2.0,0.0,0.16,0.0,0,28,26,-1,-1,0.0
stage1a_single_agent_tiny,1,9630,95,1,100,100,2,0,False,-0.02891612984240055,2.0,2.0,0.0,0.28,0.0,0,109,3,-1,-1,0.0
stage1a_single_agent_tiny,1,9750,96,1,100,100,2,0,False,-5.030935764312744,1.0,1.0,0.0,0.32,0.0,0,120,65,-1,-1,0.0
stage1a_single_agent_tiny,1,9820,97,1,100,100,2,0,False,6.520725727081299,2.0,2.0,0.0,0.48,0.0,0,70,14,-1,-1,0.0
