stage,stage_index,global_step,episode,n_agents,mean_episode_reward,food_discovered,food_picked_up,food_retrieved,exploration_coverage,pheromone_usage,episode_length,swarm_efficiency
stage2_small_swarm,2,155800,197,3,-418.82763671875,1.0,1.0,0.0,0.10121457489878542,0.5076377356593245,600,0.0
stage2_small_swarm,2,157600,198,3,-875.8518676757812,0.0,0.0,0.0,0.009109311740890687,0.7173120143721139,600,0.0
stage2_small_swarm,2,159400,199,3,-688.8446655273438,2.0,2.0,0.0,0.0728744939271255,0.6630814388686042,600,0.0
stage2_small_swarm,2,161200,200,3,-795.9650268554688,1.0,1.0,0.0,0.04251012145748988,0.6832183500257896,600,0.0
stage2_small_swarm,2,163000,201,3,-734.2477416992188,1.0,1.0,0.0,0.057692307692307696,0.6744072306968155,600,0.0
stage2_small_swarm,2,164800,202,3,-826.8922729492188,1.0,1.0,0.0,0.03340080971659919,0.6038905138811324,600,0.0
stage2_small_swarm,2,166600,203,3,-714.2166137695312,0.0,0.0,0.0,0.09919028340080972,0.5926018595895909,600,0.0
stage2_small_swarm,2,168400,204,3,-691.68212890625,0.0,0.0,0.0,0.08097165991902834,0.6284536171491749,600,0.0
stage2_small_swarm,2,170200,205,3,-789.7643432617188,0.0,0.0,0.0,0.058704453441295545,0.7003456492750654,600,0.0
stage2_small_swarm,2,172000,206,3,-799.330322265625,0.0,0.0,0.0,0.06680161943319839,0.7223620100489482,600,0.0
stage2_small_swarm,2,173800,207,3,-760.2280883789062,0.0,0.0,0.0,0.07186234817813765,0.6586605841344539,600,0.0
stage2_small_swarm,2,175600,208,3,-739.1103515625,1.0,1.0,0.0,0.07894736842105263,0.6301136149439844,600,0.0
stage2_small_swarm,2,177400,209,3,-891.302490234375,0.0,0.0,0.0,0.019230769230769232,0.7095188571098778,600,0.0
stage2_small_swarm,2,179200,210,3,-814.2096557617188,0.0,0.0,0.0,0.04757085020242915,0.5782761876671996,600,0.0
stage2_small_swarm,2,181000,211,3,-741.7255249023438,0.0,0.0,0.0,0.0931174089068826,0.5147906769818898,600,0.0
stage2_small_swarm,2,182800,212,3,-740.595458984375,0.0,0.0,0.0,0.07388663967611336,0.5116268668790549,600,0.0
stage2_small_swarm,2,184600,213,3,-587.48193359375,0.0,0.0,0.0,0.0860323886639676,0.39752069149680513,600,0.0
stage2_small_swarm,2,186400,214,3,-598.3596801757812,0.0,0.0,0.0,0.1194331983805668,0.4845729819876821,600,0.0
stage2_small_swarm,2,188200,215,3,-800.892822265625,1.0,1.0,0.0,0.06072874493927125,0.39780539154081557,600,0.0
stage2_small_swarm,2,190000,216,3,-774.4765625,0.0,0.0,0.0,0.06882591093117409,0.5264467852518687,600,0.0
stage2_small_swarm,2,191800,217,3,-702.9295043945312,0.0,0.0,0.0,0.08704453441295547,0.3504826988914606,600,0.0
