stage,stage_index,global_step,episode,n_agents,width,height,n_targets,n_obstacles,pheromone_enabled,mean_episode_reward,food_discovered,food_picked_up,food_retrieved,exploration_coverage,pheromone_usage,pheromone_deposit_events,low_displacement_fraction,crowding_fraction,stuck_event_count,successful_escape_count,mean_stuck_duration,max_collision_streak,episode_length,first_pickup_step,first_delivery_step,pickup_to_delivery_latency,swarm_efficiency
stage1a_single_agent_tiny,1,10560,88,1,100,100,2,0,True,5.562559604644775,2.0,2.0,0.0,0.44,0.5336449440879126,75,0.6416666666666667,0.0,1,0,11.0,1,120,71,-1,-1,0.0
stage1a_single_agent_tiny,1,10680,89,1,100,100,2,0,True,-28.504653930664062,0.0,0.0,0.0,0.24,0.6559966234412665,70,0.675,0.0,1,0,9.0,1,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,10800,90,1,100,100,2,0,True,95.64673614501953,4.0,4.0,3.0,0.44,0.467904820125356,67,0.49166666666666664,0.0,0,0,0.0,1,120,19,31,12,0.025
stage1a_single_agent_tiny,1,10920,91,1,100,100,2,0,True,-19.424942016601562,0.0,0.0,0.0,0.32,0.5343901357332167,68,0.5916666666666667,0.0,1,0,7.0,1,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,11040,92,1,100,100,2,0,True,46.2984619140625,5.0,5.0,1.0,0.44,0.48548815845279025,61,0.5666666666666667,0.0,1,0,7.0,1,120,16,98,82,0.008333333333333333
stage1a_single_agent_tiny,1,11160,93,1,100,100,2,0,True,-15.691492080688477,1.0,1.0,0.0,0.36,0.47592564300478746,65,0.49166666666666664,0.0,2,0,3.5,1,120,30,-1,-1,0.0
stage1a_single_agent_tiny,1,11280,94,1,100,100,2,0,True,4.577662944793701,3.0,3.0,0.0,0.36,0.5303823064741058,69,0.6083333333333333,0.0,2,0,7.0,1,120,10,-1,-1,0.0
stage1a_single_agent_tiny,1,11400,95,1,100,100,2,0,True,-7.637728214263916,1.0,1.0,0.0,0.36,0.37856347612202323,63,0.5083333333333333,0.0,0,0,0.0,1,120,57,-1,-1,0.0
stage1a_single_agent_tiny,1,11520,96,1,100,100,2,0,True,-8.639664649963379,0.0,0.0,0.0,0.36,0.4590091262303758,72,0.6083333333333333,0.0,2,0,3.5,1,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,11640,97,1,100,100,2,0,True,-0.2425505518913269,2.0,2.0,0.0,0.36,0.4403631009782354,64,0.5416666666666666,0.0,1,0,7.0,1,120,30,-1,-1,0.0
