stage,stage_index,stage_attempt,global_step,episode,n_agents,width,height,n_targets,n_obstacles,mean_episode_reward,food_discovered,food_picked_up,food_retrieved,exploration_coverage,pheromone_usage,pheromone_deposit_events,food_source_respawns,food_units_remaining,episode_length,first_pickup_step,first_delivery_step,pickup_to_delivery_latency,delivery_conversion,swarm_efficiency
stage1a_single_agent_miniscule,1,1,6562,78,1,50,50,1,0,189.00631713867188,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,79,76,76,0,1.0,0.05063291139240506
stage1a_single_agent_miniscule,1,1,6682,79,1,50,50,1,0,-3.6133880615234375,0.0,0.0,0.0,0.4444444444444444,0.0,0,0,4,120,-1,-1,-1,0.0,0.0
stage1a_single_agent_miniscule,1,1,6802,80,1,50,50,1,0,-3.887399673461914,0.0,0.0,0.0,0.4444444444444444,0.0,0,0,4,120,-1,-1,-1,0.0,0.0
stage1a_single_agent_miniscule,1,1,6818,81,1,50,50,1,0,191.41177368164062,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,16,13,13,0,1.0,0.25
stage1a_single_agent_miniscule,1,1,6829,82,1,50,50,1,0,191.66702270507812,4.0,4.0,4.0,0.2222222222222222,0.0,0,0,0,11,8,8,0,1.0,0.36363636363636365
stage1a_single_agent_miniscule,1,1,6842,83,1,50,50,1,0,191.406005859375,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,13,10,10,0,1.0,0.3076923076923077
stage1a_single_agent_miniscule,1,1,6912,84,1,50,50,1,0,189.38894653320312,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,70,67,67,0,1.0,0.05714285714285714
stage1a_single_agent_miniscule,1,1,6965,85,1,50,50,1,0,191.14581298828125,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,53,43,43,0,1.0,0.07547169811320754
stage1a_single_agent_miniscule,1,1,7028,86,1,50,50,1,0,190.75259399414062,4.0,4.0,4.0,0.4444444444444444,0.0,0,0,0,63,60,60,0,1.0,0.06349206349206349
stage1a_single_agent_miniscule,1,1,7148,87,1,50,50,1,0,-3.466245412826538,0.0,0.0,0.0,0.4444444444444444,0.0,0,0,4,120,-1,-1,-1,0.0,0.0
stage1a_single_agent_miniscule,1,1,7214,88,1,50,50,1,0,188.23886108398438,4.0,4.0,4.0,0.4444444444444444,0.0,0,0,0,66,61,61,0,1.0,0.06060606060606061
stage1a_single_agent_miniscule,1,1,7334,89,1,50,50,1,0,-3.63038969039917,0.0,0.0,0.0,0.4444444444444444,0.0,0,0,4,120,-1,-1,-1,0.0,0.0
stage1a_single_agent_miniscule,1,1,7454,90,1,50,50,1,0,-5.001856327056885,0.0,0.0,0.0,0.3333333333333333,0.0,0,0,4,120,-1,-1,-1,0.0,0.0
stage1a_single_agent_miniscule,1,1,7556,91,1,50,50,1,0,187.14804077148438,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,102,99,99,0,1.0,0.0392156862745098
stage1a_single_agent_miniscule,1,1,7676,92,1,50,50,1,0,-4.646290302276611,0.0,0.0,0.0,0.2222222222222222,0.0,0,0,4,120,-1,-1,-1,0.0,0.0
stage1a_single_agent_miniscule,1,1,7710,93,1,50,50,1,0,190.43353271484375,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,34,29,29,0,1.0,0.11764705882352941
stage1a_single_agent_miniscule,1,1,7751,94,1,50,50,1,0,189.66885375976562,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,41,38,38,0,1.0,0.0975609756097561
stage1a_single_agent_miniscule,1,1,7755,95,1,50,50,1,0,191.71200561523438,4.0,4.0,4.0,0.1111111111111111,0.0,0,0,0,4,1,1,0,1.0,1.0
